Baseline 100%T,,TigE_30x_2ndbase,,TigE_60x_2ndbase1,,TigE_90x_2ndbase,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
659.9824219,0.002499089343,659.9824219,0.008418657817,659.9824219,0.007577599492,659.9824219,0.002777392277,
658.9998169,0.002547934419,658.9998169,0.008385271765,658.9998169,0.007709986065,658.9998169,0.002665877808,
658.0168457,0.002519136993,658.0168457,0.00840868149,658.0168457,0.007930167019,658.0168457,0.002712293062,
656.9971313,0.002377260942,656.9971313,0.00860265363,656.9971313,0.007926264778,656.9971313,0.002676296048,
656.0136108,0.00230009458,656.0136108,0.00861329399,656.0136108,0.007770199329,656.0136108,0.002709271619,
654.9933472,0.002676869044,654.9933472,0.00829415489,654.9933472,0.007750065532,654.9933472,0.002700232901,
654.0092163,0.002289945493,654.0092163,0.008606191725,654.0092163,0.008055487648,654.0092163,0.002946998226,
652.9883423,0.002547127195,652.9883423,0.008702814579,652.9883423,0.007543119602,652.9883423,0.002852584934,
652.0036011,0.002531973179,652.0036011,0.008683430031,652.0036011,0.007722001523,652.0036011,0.002596915234,
650.9821777,0.00248917006,650.9821777,0.008808335289,650.9821777,0.007777762599,650.9821777,0.002748709871,
649.9967651,0.002431532834,649.9967651,0.008798455819,649.9967651,0.008027720265,649.9967651,0.002852923702,
649.0112305,0.002501770854,649.0112305,0.008920803666,649.0112305,0.007461711764,649.0112305,0.002787448466,
647.9888916,0.002423306927,647.9888916,0.009140225127,647.9888916,0.008167366497,647.9888916,0.002800813643,
647.0026855,0.002395220567,647.0026855,0.009220942855,647.0026855,0.007890913635,647.0026855,0.002833069069,
646.0162964,0.00242218771,646.0162964,0.00926203467,646.0162964,0.008177521639,646.0162964,0.003073574742,
644.992981,0.002477480564,644.992981,0.009337512776,644.992981,0.008047181182,644.992981,0.0029479363,
644.0059204,0.002598607913,644.0059204,0.009204893373,644.0059204,0.007945694961,644.0059204,0.002962010214,
642.9821167,0.00252338103,642.9821167,0.009237257764,642.9821167,0.008123239502,642.9821167,0.00281462213,
641.9945068,0.002734616864,641.9945068,0.00915762037,641.9945068,0.00802932959,641.9945068,0.002987657208,
641.0066528,0.002632332733,641.0066528,0.009428399615,641.0066528,0.008069491014,641.0066528,0.003114480292,
639.9818726,0.002693799324,639.9818726,0.009389990009,639.9818726,0.00818820484,639.9818726,0.002981401514,
638.9934082,0.002765590791,638.9934082,0.009573259391,638.9934082,0.008023158647,638.9934082,0.002914421493,
638.0046997,0.002784348326,638.0046997,0.009675312787,638.0046997,0.008135635406,638.0046997,0.002884766087,
637.015686,0.00267082639,637.015686,0.009733919054,637.015686,0.008289062418,637.015686,0.003160630586,
635.9897461,0.002742640208,635.9897461,0.009896968491,635.9897461,0.008231125772,635.9897461,0.003010386135,
635.0001831,0.002639182145,635.0001831,0.01007295493,635.0001831,0.008439719677,635.0001831,0.003064919729,
634.0103149,0.002851360245,634.0103149,0.009835295379,634.0103149,0.008140726015,634.0103149,0.003085175995,
632.9834595,0.003048470244,632.9834595,0.009756051004,632.9834595,0.008104645647,632.9834595,0.002782654716,
631.993103,0.002861652756,631.993103,0.009972132742,631.993103,0.008327876218,631.993103,0.002995659132,
631.0023193,0.002899671672,631.0023193,0.01010938454,631.0023193,0.008269142359,631.0023193,0.003027954837,
