Baseline 100%T,,100x,,200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
555.0100098,-0.003952504601,555.0100098,0.1496283859,555.0100098,0.06705932319,
553.9992065,-0.003927057609,553.9992065,0.1506827772,553.9992065,0.06747933477,
552.9882813,-0.003721477464,552.9882813,0.1515696943,552.9882813,0.06794320792,
552.0144043,-0.003833003808,552.0144043,0.1526811719,552.0144043,0.06837134063,
551.0029297,-0.004056893289,551.0029297,0.154006049,551.0029297,0.06896337122,
549.9911499,-0.004147103988,549.9911499,0.1554580182,549.9911499,0.06973231584,
549.0166626,-0.004162539262,549.0166626,0.1567943543,549.0166626,0.07029181719,
548.0045166,-0.004154745024,548.0045166,0.157874018,548.0045166,0.07086123526,
546.9920654,-0.003593646456,546.9920654,0.158988148,546.9920654,0.07127993554,
546.0169067,-0.003379483707,546.0169067,0.1602639705,546.0169067,0.07174719125,
545.0039063,-0.003436501371,545.0039063,0.1617564708,545.0039063,0.07253041118,
543.9907837,-0.00322149042,543.9907837,0.1632453203,543.9907837,0.07326629013,
543.0148926,-0.003001951147,543.0148926,0.1647806615,543.0148926,0.07395412773,
542.0012817,-0.002045808593,542.0012817,0.1659832895,542.0012817,0.07441265136,
540.9873657,-0.001157939201,540.9873657,0.16708076,540.9873657,0.07480978966,
540.0108032,-0.0009611171554,540.0108032,0.168442294,540.0108032,0.07544808835,
538.99646,-0.000988959684,538.99646,0.1702025235,538.99646,0.07630635798,
537.9819336,-0.0007779010339,537.9819336,0.1719634831,537.9819336,0.07720288634,
537.0046997,0.0004334697151,537.0046997,0.1732744724,537.0046997,0.07775934041,
535.9897461,0.0007339952863,535.9897461,0.1749007851,535.9897461,0.07848057151,
535.0120239,0.0005855209311,535.0120239,0.1767568886,535.0120239,0.07938815653,
533.996521,0.001900714589,533.996521,0.1779105365,533.996521,0.07982259244,
533.0184326,0.002899046289,533.0184326,0.1793293953,533.0184326,0.08047724515,
532.0025024,0.002848441945,532.0025024,0.1814672798,532.0025024,0.08159209788,
530.9863281,0.003208298469,530.9863281,0.1830977648,530.9863281,0.08237085491,
530.0075073,0.003631905653,530.0075073,0.1850330681,530.0075073,0.08331844956,
528.9908447,0.005532702897,528.9908447,0.1860390604,528.9908447,0.08345479518,
528.0116577,0.005971391685,528.0116577,0.1875775009,528.0116577,0.08415815234,
526.9945679,0.006053649355,526.9945679,0.1895962805,526.9945679,0.08516258746,
526.0149536,0.006803136319,526.0149536,0.1913193911,526.0149536,0.08593796939,
524.9973755,0.007172549143,524.9973755,0.1933414489,524.9973755,0.08704923093,
524.0172729,0.007572462782,524.0172729,0.1951490045,524.0172729,0.08784763515,
522.9992676,0.00794055406,522.9992676,0.1969880313,522.9992676,0.08867802471,
522.0187378,0.008396461606,522.0187378,0.1987822205,522.0187378,0.08950924128,
521.0002441,0.008661353029,521.0002441,0.2008405328,521.0002441,0.09034621716,
519.9815674,0.008922680281,519.9815674,0.2030323893,519.9815674,0.09153731912,
519.0004272,0.009870777838,519.0004272,0.2049120665,519.0004272,0.09235014021,
517.9813232,0.01038911007,517.9813232,0.2067874968,517.9813232,0.09309597313,
516.9997559,0.01049838215,516.9997559,0.2089886814,516.9997559,0.09407788515,
516.0178833,0.01050063595,516.0178833,0.2109294534,516.0178833,0.09508274496,
514.9981079,0.01070536207,514.9981079,0.213279888,514.9981079,0.09603468329,
514.0158691,0.01084918901,514.0158691,0.2155146003,514.0158691,0.09710953385,
512.9956055,0.01125781704,512.9956055,0.2174617201,512.9956055,0.09800085425,
512.0129395,0.01158608124,512.0129395,0.2191892117,512.0129395,0.09883666039,
510.9922791,0.011858752,510.9922791,0.2217878252,510.9922791,0.1000016108,
510.0091858,0.0118698189,510.0091858,0.2237363756,510.0091858,0.1008418426,
508.9880066,0.01195815019,508.9880066,0.2261599302,508.9880066,0.1019661203,
508.0045776,0.01191070955,508.0045776,0.2287003696,508.0045776,0.1031701267,
