Baseline 100%T,,CM52_frac_110-175_10x,,CM52_frac_110-175_10x1_repeat,,CM52_frac_176-240_10x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
596.000061,-0.01142339967,596.000061,0.0001057052723,596.000061,0.002256403444,596.000061,-0.00188186497,
594.9996338,-0.01140549779,594.9996338,-0.000118334523,594.9996338,0.002021941124,594.9996338,-0.002147308085,
593.9987793,-0.01152343675,593.9987793,-0.0001031174543,593.9987793,0.002118150936,593.9987793,-0.002271290869,
592.9978027,-0.01182416733,592.9978027,-1.351226547E-005,592.9978027,0.002032292075,592.9978027,-0.002079867525,
591.9963989,-0.01186925638,591.9963989,-0.0001974650368,591.9963989,0.00200586929,591.9963989,-0.002239100868,
590.994873,-0.01203561667,590.994873,-0.0001335510606,590.994873,0.002219455549,590.994873,-0.002191198058,
589.993103,-0.01225250028,589.993103,-0.0001806464861,589.993103,0.002126214793,589.993103,-0.002094757976,
588.9909668,-0.01236155536,588.9909668,-0.0002028468443,588.9909668,0.002058352111,588.9909668,-0.002106453525,
587.9886475,-0.01267960668,587.9886475,-7.20087919E-005,587.9886475,0.002190367784,587.9886475,-0.00213618041,
586.986084,-0.01275079977,586.986084,-0.0001176616715,586.986084,0.002213055035,586.986084,-0.002159414347,
585.9832764,-0.01298571751,585.9832764,-2.686880362E-005,585.9832764,0.002136360155,585.9832764,-0.002122991486,
585.0172729,-0.0131018227,585.0172729,-0.0001445232047,585.0172729,0.002056635683,585.0172729,-0.002352759242,
584.013916,-0.01333926059,584.013916,-7.806506619E-005,584.013916,0.002222317504,584.013916,-0.002160135424,
583.0103149,-0.01356573123,583.0103149,4.903079025E-005,583.0103149,0.002209802624,583.0103149,-0.002192743355,
582.0065308,-0.01371017471,582.0065308,-9.587104432E-005,582.0065308,0.002051590011,582.0065308,-0.002161938464,
581.0023193,-0.01387733594,581.0023193,-8.494943904E-005,581.0023193,0.002116902266,581.0023193,-0.002244560514,
579.9979858,-0.01392512023,579.9979858,-9.644040983E-005,579.9979858,0.001973051345,579.9979858,-0.002549826633,
578.9932861,-0.01417799387,578.9932861,-0.0002615765843,578.9932861,0.002037805738,578.9932861,-0.002583537484,
577.9884644,-0.01444284059,577.9884644,-0.0001417801832,577.9884644,0.002110165078,577.9884644,-0.002494648565,
576.9832764,-0.01479840279,576.9832764,-3.784363798E-005,576.9832764,0.002065348672,576.9832764,-0.002282724017,
576.0151367,-0.01484928746,576.0151367,-0.0001242866274,576.0151367,0.00200553122,576.0151367,-0.002401622478,
575.0095215,-0.01517297234,575.0095215,-0.0001592730405,575.0095215,0.002149731154,575.0095215,-0.002315683058,
574.0036621,-0.01543421391,574.0036621,-5.368417987E-005,574.0036621,0.002096248791,574.0036621,-0.002375930082,
572.9974365,-0.015705036,572.9974365,-0.000127650841,572.9974365,0.002247400349,572.9974365,-0.00237618736,
571.9910889,-0.01592907868,571.9910889,-0.0001456618047,571.9910889,0.002102231607,571.9910889,-0.00233447901,
570.9844971,-0.01631040312,570.9844971,-5.425359996E-005,570.9844971,0.002088757697,570.9844971,-0.002378041157,
570.0148926,-0.01657161117,570.0148926,5.306947787E-005,570.0148926,0.002166432794,570.0148926,-0.00236825808,
569.0077515,-0.01687115803,569.0077515,-0.0001802842307,569.0077515,0.002065504668,569.0077515,-0.002369493712,
568.0003052,-0.01717218943,568.0003052,-0.0001983447582,568.0003052,0.002236393979,568.0003052,-0.002431535162,
566.9927368,-0.01741512306,566.9927368,-0.0001545117411,566.9927368,0.001934697269,566.9927368,-0.002450531814,
565.9848633,-0.01775692962,565.9848633,-4.44698162E-005,565.9848633,0.002128608059,565.9848633,-0.002410632558,
565.0140381,-0.01814132184,565.0140381,-0.000151044238,565.0140381,0.002258250955,565.0140381,-0.002385094995,
564.0056152,-0.01840286888,564.0056152,-0.0001039973649,564.0056152,0.002217139816,564.0056152,-0.002387824003,
562.9970703,-0.01873433031,562.9970703,1.566129322E-005,562.9970703,0.00220080046,562.9970703,-0.002483838471,
561.9882202,-0.01870611496,561.9882202,-0.0003196258331,561.9882202,0.001977055799,561.9882202,-0.00273229694,
