Baseline 100%T,,SAM synthesis rotovap 200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
565.0140381,-0.01879030839,565.0140381,-0.0009703637334,
564.0056152,-0.01933960244,564.0056152,-0.0007336096605,
562.9970703,-0.01951941103,562.9970703,-0.00118876365,
561.9882202,-0.01988721266,561.9882202,-0.001073251129,
561.0164795,-0.02019965462,561.0164795,-0.001142242225,
560.0071411,-0.0204602126,560.0071411,-0.001349872327,
558.9974976,-0.02062667161,558.9974976,-0.001113686594,
557.9876709,-0.02103595808,557.9876709,-0.001129952609,
557.0150146,-0.02125657722,557.0150146,-0.001300271135,
556.0046997,-0.02165689878,556.0046997,-0.001040765666,
554.9941406,-0.02188404463,554.9941406,-0.0009297599318,
553.9832764,-0.02192623168,553.9832764,-0.0008880672976,
553.0097046,-0.02200015821,553.0097046,-0.001021293923,
551.9984741,-0.02212701552,551.9984741,-0.001061062911,
550.9869385,-0.02203509957,550.9869385,-0.0009685557452,
550.0126953,-0.02234024554,550.0126953,-0.001069481019,
549.0006104,-0.02220380865,549.0006104,-0.001028215047,
547.9884644,-0.02202087641,547.9884644,-0.001414381666,
547.0134277,-0.02206447721,547.0134277,-0.0008954038494,
546.0007935,-0.02182619832,546.0007935,-0.001108729164,
544.9877319,-0.02155281231,544.9877319,-0.001121638925,
544.012146,-0.02153059281,544.012146,-0.0009661795339,
542.9986572,-0.02099102177,542.9986572,-0.001116888248,
541.9850464,-0.02058366872,541.9850464,-0.001312194509,
541.008728,-0.02045917511,541.008728,-0.001193462056,
539.9946289,-0.02016426809,539.9946289,-0.001233370043,
539.0178833,-0.0197282359,539.0178833,-0.001109142322,
538.0031738,-0.01947303116,538.0031738,-0.001009620843,
536.9884033,-0.019142529,536.9884033,-0.0007560401573,
536.0109253,-0.01856759004,536.0109253,-0.001135426224,
534.9956665,-0.01772979461,534.9956665,-0.001042573364,
534.0177612,-0.01723478921,534.0177612,-0.0009275384946,
533.0020142,-0.01668302529,533.0020142,-0.00111151766,
531.9859619,-0.01626362838,531.9859619,-0.001160365995,
531.0074463,-0.01563272811,531.0074463,-0.001003267593,
529.9910278,-0.01487200148,529.9910278,-0.001243901439,
529.0119629,-0.01448645629,529.0119629,-0.001050836989,
527.9951172,-0.01412617881,527.9951172,-0.00120538834,
527.015625,-0.01368057728,527.015625,-0.0009400920244,
525.998291,-0.01321262307,525.998291,-0.000923767162,
525.0183716,-0.01267648861,525.0183716,-0.0008834173204,
524.0006104,-0.01221243385,524.0006104,-0.00135653012,
522.9825439,-0.01203325018,522.9825439,-0.0007100925432,
522.0020142,-0.0116380183,522.0020142,-0.000822601316,
520.9835815,-0.01107263286,520.9835815,-0.000984724029,
520.0025635,-0.01079188567,520.0025635,-0.001056156587,
518.9836426,-0.01041255612,518.9836426,-0.0007729915087,
518.0022583,-0.01018807665,518.0022583,-0.0008242032491,
516.9828491,-0.009654421359,516.9828491,-0.000950888847,
516.0010376,-0.009491045959,516.0010376,-0.0006871427759,
514.9812012,-0.009354616515,514.9812012,-0.0009807465831,
513.9989624,-0.009187276475,513.9989624,-0.0007856528973,
513.0165405,-0.008834393695,513.0165405,-0.001181793516,
511.9959717,-0.008565444499,511.9959717,-0.001102583949,
511.0130615,-0.008485336788,511.0130615,-0.001068551443,
509.992157,-0.008291503415,509.992157,-0.00111002021,
509.0088501,-0.008358443156,509.0088501,-0.0008846573182,
507.9875183,-0.008416131139,507.9875183,-0.000951922033,
507.0037842,-0.008406686597,507.0037842,-0.001121793874,
505.9819336,-0.007993754931,505.9819336,-0.001206472516,
504.9977722,-0.008004581556,504.9977722,-0.001067363657,
504.0134277,-0.00806384068,504.0134277,-0.001316013979,
502.9909363,-0.008284950629,502.9909363,-0.001204304164,
502.0061646,-0.008576256223,502.0061646,-0.000492641062,
500.9833374,-0.008483813144,500.9833374,-0.0009550731629,
499.9981079,-0.008392062038,499.9981079,-0.001030590967,
499.0126953,-0.008530519903,499.0126953,-0.001045155805,
497.9891052,-0.008597523905,497.9891052,-0.001212977688,
497.0032959,-0.009020227008,497.0032959,-0.000863266876,
496.0173645,-0.008961503394,496.0173645,-0.001264498918,
494.9931335,-0.009261731058,494.9931335,-0.001070668921,
494.0067749,-0.009530756623,494.0067749,-0.001153343823,
492.9821777,-0.009399050847,492.9821777,-0.001325356308,
491.9953308,-0.009762510657,491.9953308,-0.0009631834691,
491.0082703,-0.01000127569,491.0082703,-0.0006156494492,
489.9830627,-0.009959179908,489.9830627,-0.001039577764,
488.995636,-0.01013209019,488.995636,-0.001072631334,
488.0079956,-0.01003066916,488.0079956,-0.001160004642,
486.9820862,-0.01022908837,486.9820862,-0.0008354163147,
485.9940491,-0.009874217212,485.9940491,-0.001278384821,
485.0058289,-0.01004974172,485.0058289,-0.000843890477,
484.0173645,-0.009500518441,484.0173645,-0.0008359330241,
482.9907532,-0.009483093396,482.9907532,-0.0007416206645,
482.0018921,-0.009449712001,482.0018921,-0.0007608465385,
481.0127869,-0.008822624572,481.0127869,-0.0008517444949,
479.9855957,-0.008403639309,479.9855957,-0.000983277685,
478.9960938,-0.007867175154,478.9960938,-0.001049907296,
478.0064697,-0.00711278012,478.0064697,-0.001226916909,
477.0166321,-0.006621425971,477.0166321,-0.001086110249,
475.9884644,-0.006135641132,475.9884644,-0.001047428232,
474.9982605,-0.005512284115,474.9982605,-0.001030745916,
474.007843,-0.005032983609,474.007843,-0.0008874473278,
473.0172119,-0.004561504349,473.0172119,-0.001009362517,
471.9883728,-0.003897914896,471.9883728,-0.001053832471,
470.9973145,-0.003433162812,470.9973145,-0.0009287266876,
470.0061035,-0.002946933266,470.0061035,-0.0008931822376,
469.01474,-0.002234825864,469.01474,-0.001078983536,
467.9850464,-0.002090223832,467.9850464,-0.0007799165323,
466.9932556,-0.001654375228,466.9932556,-0.0006267645513,
466.0013123,-0.001120657776,466.0013123,-0.001012410037,
465.0091553,-0.0006917431601,465.0091553,-0.001132689416,
464.0167847,-0.0006695160409,464.0167847,-0.0006283154362,
462.986084,-8.287896344E-005,462.986084,-0.000903101929,
461.9933472,0.0001966484415,461.9933472,-0.0008660053136,
461.0003967,0.0004751638335,461.0003967,-0.0008951972122,
460.0073242,0.0005379327922,460.0073242,-0.0006638815976,
459.0140381,0.0008205315098,459.0140381,-0.0007012538845,
457.9823303,0.0009455558029,457.9823303,-0.0007412589039,
456.988678,0.00109223288,456.988678,-0.0008175372495,
455.9948425,0.00138890394,455.9948425,-0.0008254950517,
455.0007629,0.001444506925,455.0007629,-0.0009421584546,
454.0065308,0.001753322431,454.0065308,-0.001089725294,
453.0121155,0.001836578595,453.0121155,-0.001045620535,
452.0175476,0.001821761252,452.0175476,-0.000625678862,
450.9844971,0.001993594691,450.9844971,-0.0005251158145,
449.989563,0.002146505518,449.989563,-0.0008823323296,
448.9943542,0.002353315707,448.9943542,-0.0008694670978,
447.9990234,0.00198272476,447.9990234,-0.0005845775013,
447.00354,0.002413623733,447.00354,-0.001067466917,
446.007782,0.002259083558,446.007782,-0.001003422542,
445.0119019,0.002410317771,445.0119019,-0.0008272003033,
444.0158997,0.002462979872,444.0158997,-0.0008570665377,
442.9812927,0.002270194702,442.9812927,-0.0003760120599,
441.9848328,0.0026989826,441.9848328,-0.0009483575705,
440.9882507,0.002631994197,440.9882507,-0.0009283650434,
439.9914551,0.002285964089,439.9914551,-0.0003289378365,
438.9945068,0.002393971197,438.9945068,-0.0005644648336,
437.997345,0.002286978997,437.997345,-0.0007444632938,
437.0000305,0.002397042699,437.0000305,-0.001090551494,
436.0025024,0.002067221329,436.0025024,-0.0008678137092,
435.0048218,0.002026622416,435.0048218,-0.0009372507338,
434.006958,0.001723823952,434.006958,-0.000753404398,
433.0089111,0.001665872522,433.0089111,-0.0006813017535,
432.0107117,0.001582441269,432.0107117,-0.0006831109058,
431.0123291,0.00182724616,431.0123291,-0.001113996375,
430.0137634,0.001368674682,430.0137634,-0.000890030642,
