Baseline 100%T,,TigE 200,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
608.9899902,-0.00501369033,608.9899902,0.06904563308,
607.992981,-0.005065530073,607.992981,0.06931538135,
606.9957886,-0.005062203854,606.9957886,0.06946534663,
605.9981689,-0.005221728701,605.9981689,0.06965605915,
605.0003662,-0.005321363918,605.0003662,0.06987996399,
604.0023804,-0.005467501469,604.0023804,0.07025894523,
603.0039673,-0.005559617653,603.0039673,0.07056129724,
602.0053711,-0.005734083708,602.0053711,0.07093472034,
601.0065308,-0.005902606528,601.0065308,0.07095754892,
600.0074463,-0.006140337326,600.0074463,0.07141078264,
599.0079956,-0.006026134361,599.0079956,0.07119093835,
598.0084229,-0.006317274645,598.0084229,0.07153761387,
597.0085449,-0.006465882994,597.0085449,0.07184253633,
596.0083008,-0.006675521843,596.0083008,0.07237702608,
595.0078735,-0.006593534723,595.0078735,0.07216414809,
594.0072021,-0.006909823976,594.0072021,0.07264263183,
593.0062866,-0.007291968912,593.0062866,0.07307126373,
592.0050049,-0.007346286438,592.0050049,0.07309527695,
591.0036011,-0.007574427407,591.0036011,0.0734449476,
590.0018311,-0.00775861321,590.0018311,0.07380026579,
588.9998779,-0.007838194259,588.9998779,0.07382901758,
587.9976196,-0.008171006106,587.9976196,0.07430642098,
586.9950562,-0.008427809924,586.9950562,0.07455492765,
585.9923706,-0.008608234115,585.9923706,0.07482590526,
584.9892578,-0.008710139431,584.9892578,0.07495087385,
583.9860229,-0.008945629001,583.9860229,0.07531441748,
582.9824829,-0.009208818898,582.9824829,0.07546921074,
582.0159302,-0.009454321116,582.0159302,0.07585735619,
581.0118408,-0.009705254808,581.0118408,0.07614284009,
580.0075684,-0.01003714465,580.0075684,0.076687783,
579.0029907,-0.01019232441,579.0029907,0.07674201578,
577.99823,-0.01039724145,577.99823,0.07716605812,
576.9931641,-0.01071173325,576.9931641,0.07731629163,
575.987854,-0.01116089337,575.987854,0.07802426815,
574.9822998,-0.01134507824,574.9822998,0.07816766948,
574.0137329,-0.01161251403,574.0137329,0.07837740332,
573.0076904,-0.01196284499,573.0076904,0.07890789211,
572.0014038,-0.01226120722,572.0014038,0.07915261388,
570.994812,-0.01266140398,570.994812,0.0796142444,
569.9880371,-0.01284389757,569.9880371,0.07987893373,
569.0183105,-0.01321789622,569.0183105,0.08041456342,
568.0110474,-0.01354876999,568.0110474,0.08066939563,
567.003418,-0.01393244043,567.003418,0.08106562495,
565.9956055,-0.01427238993,565.9956055,0.08165888488,
564.9876709,-0.01450087782,564.9876709,0.08196337521,
564.0167236,-0.01492462866,564.0167236,0.08238200098,
563.0081177,-0.01534551848,563.0081177,0.08290509135,
561.9993896,-0.01573988795,561.9993896,0.08347976208,
560.9903564,-0.01603616774,560.9903564,0.08376600593,
560.0184937,-0.01633139513,560.0184937,0.08416122943,
559.0089722,-0.01679152064,559.0089722,0.08494977653,
557.9992065,-0.01696357504,557.9992065,0.08520419896,
556.9891968,-0.01719975844,556.9891968,0.08575091511,
556.0164185,-0.0175487455,556.0164185,0.0862576589,
555.0059204,-0.01781551912,555.0059204,0.08678661287,
553.9952393,-0.01795542799,553.9952393,0.08714733273,
552.9842529,-0.01823242754,552.9842529,0.08796046674,
552.010498,-0.01837567426,552.010498,0.08848626167,
550.9990234,-0.01847189106,550.9990234,0.0890186131,
549.9874268,-0.01852472872,549.9874268,0.08963984251,
549.0129395,-0.01848836243,549.0129395,0.09010727704,
548.0007935,-0.01847015321,548.0007935,0.09061839432,
546.9883423,-0.01856897771,546.9883423,0.09145880491,
546.0132446,-0.01844534464,546.0132446,0.09209185094,
545.0003662,-0.01824131235,545.0003662,0.09264010936,
543.9873047,-0.01801448688,543.9873047,0.09328255802,
543.0114746,-0.01756172255,543.0114746,0.09397824109,
541.9979248,-0.01725120842,541.9979248,0.09454572201,
540.9841309,-0.01717059687,540.9841309,0.09565838426,
540.0076294,-0.01671914384,540.0076294,0.09619129449,
538.9934082,-0.01634590514,538.9934082,0.09686745703,
