Baseline 100%Tv1,,Baseline 100%Tv2,,100,,200,,100_v2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
,,673.9972534,0.004972709808,673.9972534,2.488768339,673.9972534,0.01702565141,673.9972534,0.0719203651,
,,672.9824829,0.005357943941,672.9824829,2.523284674,672.9824829,0.01685506105,672.9824829,0.07204431295,
,,672.0036011,0.005270131864,672.0036011,2.502585649,672.0036011,0.01713000983,672.0036011,0.07268740237,
,,670.9881592,0.005384387914,670.9881592,2.554403067,670.9881592,0.01714492775,670.9881592,0.07307977974,
,,670.008728,0.005729564931,670.008728,2.519778013,670.008728,0.01709444076,670.008728,0.07334008813,
,,668.9926147,0.005937301554,668.9926147,2.535655975,668.9926147,0.01719889604,668.9926147,0.07351521403,
,,668.0125732,0.005803539418,668.0125732,2.535129786,668.0125732,0.01718594134,668.0125732,0.0741751641,
,,666.9958496,0.00541597046,666.9958496,2.588153839,666.9958496,0.01736000367,666.9958496,0.07468559593,
,,666.0151978,0.005023484118,666.0151978,2.537013531,666.0151978,0.01749354787,666.0151978,0.07517749071,
,,664.9979248,0.004950008821,664.9979248,2.539335966,664.9979248,0.01753437892,664.9979248,0.07530068606,
,,664.0166016,0.004901652224,664.0166016,2.622364521,664.0166016,0.01721607894,664.0166016,0.07563922554,
,,662.9987183,0.004694985691,662.9987183,2.544625044,662.9987183,0.01735507324,662.9987183,0.0763522163,
,,662.0169067,0.004246447701,662.0169067,2.555221319,662.0169067,0.01786569692,662.0169067,0.07708610594,
,,660.9983521,0.00433227513,660.9983521,2.488238573,660.9983521,0.01785987057,660.9983521,0.07712091506,
,,660.0158691,0.004482271615,660.0158691,2.540416479,660.0158691,0.01774886623,660.0158691,0.07749736309,
,,658.9967651,0.004714821,658.9967651,2.552448034,658.9967651,0.01777688414,658.9967651,0.07776640356,
,,658.0137329,0.004720892292,658.0137329,2.565621614,658.0137329,0.01799461991,658.0137329,0.07808406651,
,,656.9940186,0.004691767506,656.9940186,2.505059958,656.9940186,0.01771914959,656.9940186,0.07870370895,
,,656.010376,0.004467468243,656.010376,2.563785791,656.010376,0.01795053668,656.010376,0.07930760831,
,,654.9900513,0.004404756241,654.9900513,2.574592113,654.9900513,0.01823551953,654.9900513,0.0798477605,
,,654.0057983,0.004249872174,654.0057983,2.526651859,654.0057983,0.0182721559,654.0057983,0.08011446148,
,,652.9848022,0.004223784897,652.9848022,2.514238834,652.9848022,0.01815394685,652.9848022,0.08093972504,
,,652.000061,0.004316352773,652.000061,2.571722746,652.000061,0.01810709201,652.000061,0.08115307987,
,,651.0149536,0.004265478346,651.0149536,2.573654652,651.0149536,0.01834670454,651.0149536,0.08178124577,
,,649.993103,0.004282104783,649.993103,2.531107664,649.993103,0.01836026087,649.993103,0.08229641616,
,,649.0074463,0.004232567735,649.0074463,2.532447338,649.0074463,0.01859839074,649.0074463,0.08260702342,
,,647.9849243,0.004107429646,647.9849243,2.524016142,647.9849243,0.01872801781,647.9849243,0.08341144025,
,,646.9987183,0.004051458556,646.9987183,2.539653063,646.9987183,0.01885984652,646.9987183,0.08387815207,
,,646.012207,0.004042078741,646.012207,2.49119544,646.012207,0.0188282989,646.012207,0.08454669267,
,,644.9888306,0.004315986764,644.9888306,2.534794807,644.9888306,0.01876672171,644.9888306,0.08478023112,
,,644.001709,0.003964642063,644.001709,2.52550149,644.001709,0.01899342053,644.001709,0.08555193245,
,,643.0143433,0.004114982206,643.0143433,2.556901693,643.0143433,0.0192213729,643.0143433,0.08614905924,
,,641.9901123,0.004045370966,641.9901123,2.561442137,641.9901123,0.01917800121,641.9901123,0.0868923068,
,,641.0021362,0.004144878592,641.0021362,2.561858892,641.0021362,0.01900299266,641.0021362,0.08735008538,
,,640.013916,0.004053757992,640.013916,2.547267675,640.013916,0.01931554265,640.013916,0.08798871189,
,,638.9887695,0.004272745922,638.9887695,2.547842741,638.9887695,0.01915784739,638.9887695,0.08837421983,
,,637.9998779,0.003957667388,637.9998779,2.553640366,637.9998779,0.01960870996,637.9998779,0.08922322839,
,,637.0108643,0.004292457364,637.0108643,2.544231415,637.0108643,0.01931584068,637.0108643,0.08943057805,
,,635.9848022,0.004132386297,635.9848022,2.580147266,635.9848022,0.0195301529,635.9848022,0.0902152136,
,,634.9951782,0.004121332429,634.9951782,2.573634863,634.9951782,0.01977805607,634.9951782,0.09088618308,
,,634.005188,0.004379862454,634.005188,2.573274136,634.005188,0.01958650351,634.005188,0.0912566781,
,,633.0150146,0.004319019616,633.0150146,2.537966013,633.0150146,0.01964559592,633.0150146,0.09186521918,
,,631.987854,0.00432380382,631.987854,2.542938471,631.987854,0.01984958537,631.987854,0.09264104068,
,,630.9970093,0.004202482291,630.9970093,2.552078962,630.9970093,0.01985584386,630.9970093,0.09320096672,
